siteID,year,month,monthlyMean,date
ABBY,2015,7,1.5272277227722773,2015-07-01
ABBY,2015,8,1.7058823529411764,2015-08-01
ABBY,2016,8,2.8784848484848484,2016-08-01
ABBY,2016,9,2.302758620689655,2016-09-01
ABBY,2016,10,3.758379120879121,2016-10-01
ABBY,2016,11,3.1284722222222223,2016-11-01
ABBY,2017,3,5.081447587354409,2017-03-01
ABBY,2017,4,4.948648648648649,2017-04-01
ABBY,2017,7,4.651754385964912,2017-07-01
ABBY,2017,9,3.4862663906142166,2017-09-01
ABBY,2018,7,3.753940886699507,2018-07-01
ABBY,2018,8,5.0375,2018-08-01
ABBY,2018,9,6.0525,2018-09-01
ABBY,2018,10,3.4468468468468467,2018-10-01
ABBY,2018,11,4.3930232558139535,2018-11-01
ABBY,2019,9,5.507142857142857,2019-09-01
ABBY,2019,10,3.9666259168704157,2019-10-01
ABBY,2019,11,4.429587155963302,2019-11-01
DSNY,2014,10,2.17,2014-10-01
DSNY,2018,1,1.7806047966631908,2018-01-01
DSNY,2018,5,1.99375,2018-05-01
