siteID,year,month,monthlyMean,date
ABBY,2017,6,0.1264,2017-06-01
ABBY,2017,8,0.08842222222222222,2017-08-01
ABBY,2017,9,0.02397037037037037,2017-09-01
ABBY,2017,10,0.006564615384615385,2017-10-01
ABBY,2017,11,0.0068311077389984825,2017-11-01
ABBY,2017,12,0.008280922431865827,2017-12-01
ABBY,2018,1,0.0071055921052631575,2018-01-01
ABBY,2018,2,0.007392549019607843,2018-02-01
ABBY,2018,3,0.009189935064935066,2018-03-01
ABBY,2018,4,0.010724038461538462,2018-04-01
ABBY,2018,5,0.010122222222222222,2018-05-01
ABBY,2018,6,0.0074640522875816994,2018-06-01
ABBY,2018,7,0.09178333333333333,2018-07-01
ABBY,2018,8,0.010396078431372548,2018-08-01
ABBY,2018,9,0.006074607329842932,2018-09-01
ABBY,2018,10,0.007725459317585302,2018-10-01
ABBY,2018,11,0.006875371549893843,2018-11-01
ABBY,2018,12,0.008015097402597402,2018-12-01
ABBY,2019,1,0.009479441117764472,2019-01-01
ABBY,2019,2,0.1643313692480359,2019-02-01
ABBY,2019,3,0.21811278704144832,2019-03-01
ABBY,2019,4,0.22677062765538084,2019-04-01
ABBY,2019,5,0.21602220802115468,2019-05-01
ABBY,2019,6,0.21973344737552894,2019-06-01
ABBY,2019,7,0.20697761231914713,2019-07-01
ABBY,2019,8,0.19264605407300295,2019-08-01
ABBY,2019,9,0.21729882759342614,2019-09-01
ABBY,2019,10,0.250887792,2019-10-01
ABBY,2019,11,0.25345433771209636,2019-11-01
ABBY,2019,12,0.2630402771446805,2019-12-01
ABBY,2020,1,0.2695603608371422,2020-01-01
ABBY,2020,2,0.25449491040890293,2020-02-01
ABBY,2020,3,0.24893177049484727,2020-03-01
ABBY,2020,4,0.25303982185644336,2020-04-01
ABBY,2020,5,0.2521039653489507,2020-05-01
ABBY,2020,6,0.25205992875201105,2020-06-01
ABBY,2020,7,0.21969938412810136,2020-07-01
ABBY,2020,8,0.1908670284697509,2020-08-01
ABBY,2020,9,0.19969544799046962,2020-09-01
ABBY,2020,10,0.23677981181515007,2020-10-01
ABBY,2020,11,0.24332723500335632,2020-11-01
ABBY,2020,12,0.24633524842806065,2020-12-01
DSNY,2017,2,0.27755,2017-02-01
DSNY,2017,3,0.1117,2017-03-01
DSNY,2017,6,0.06743333333333333,2017-06-01
DSNY,2017,8,0.3002166666666667,2017-08-01
DSNY,2017,9,0.23186,2017-09-01
DSNY,2017,10,0.262975,2017-10-01
DSNY,2017,11,0.20544285714285715,2017-11-01
DSNY,2017,12,0.19063478260869565,2017-12-01
DSNY,2018,1,0.18012,2018-01-01
DSNY,2018,2,0.16535833333333333,2018-02-01
DSNY,2018,3,0.14361304347826087,2018-03-01
DSNY,2018,4,0.15017,2018-04-01
DSNY,2018,5,0.148155,2018-05-01
DSNY,2018,6,0.1765,2018-06-01
DSNY,2018,7,0.31135,2018-07-01
DSNY,2018,8,0.22769999999999999,2018-08-01
DSNY,2018,9,0.30191111111111113,2018-09-01
DSNY,2018,10,0.25088,2018-10-01
DSNY,2018,11,0.2003375,2018-11-01
DSNY,2018,12,0.21712222222222222,2018-12-01
DSNY,2019,1,0.2648875,2019-01-01
DSNY,2019,2,0.31735,2019-02-01
DSNY,2019,3,0.2629666666666667,2019-03-01
DSNY,2019,4,0.2747616788321168,2019-04-01
DSNY,2019,5,0.27750145028695516,2019-05-01
DSNY,2019,6,0.2515740494518311,2019-06-01
DSNY,2019,7,0.2295082992402104,2019-07-01
DSNY,2019,9,0.30150862364363223,2019-09-01
DSNY,2019,10,0.26496904024767803,2019-10-01
DSNY,2019,11,0.36375625,2019-11-01
DSNY,2019,12,0.34782253282507414,2019-12-01
DSNY,2020,1,0.3314258523953388,2020-01-01
DSNY,2020,2,0.3276633064516129,2020-02-01
DSNY,2020,3,0.25259468702501037,2020-03-01
DSNY,2020,4,0.20532501871365233,2020-04-01
DSNY,2020,5,0.2021515569167943,2020-05-01
DSNY,2020,6,0.2375532608695652,2020-06-01
DSNY,2020,7,0.27243339253996446,2020-07-01
DSNY,2020,8,0,2020-08-01
DSNY,2020,9,0.23594,2020-09-01
DSNY,2020,10,0.34577113783533764,2020-10-01
DSNY,2020,11,0.33045032258064516,2020-11-01
DSNY,2020,12,0.32657596532702915,2020-12-01
OAES,2017,8,0.17885,2017-08-01
OAES,2017,9,0.09584999999999999,2017-09-01
OAES,2017,10,0.15087777777777778,2017-10-01
OAES,2017,11,0.06555,2017-11-01
OAES,2017,12,0.0951,2017-12-01
OAES,2018,1,0.0078,2018-01-01
OAES,2018,2,0.07605,2018-02-01
OAES,2018,4,0.10968571428571429,2018-04-01
OAES,2018,5,0.07194,2018-05-01
OAES,2018,6,0.06558749999999999,2018-06-01
OAES,2018,7,0.1326,2018-07-01
OAES,2018,8,0.0834,2018-08-01
OAES,2018,9,0.18935555555555555,2018-09-01
OAES,2018,10,0.2134,2018-10-01
OAES,2018,11,0.2203,2018-11-01
OAES,2018,12,0.17965,2018-12-01
OAES,2019,1,0.16677142857142857,2019-01-01
OAES,2019,2,0.1169625,2019-02-01
OAES,2019,3,0.1401,2019-03-01
OAES,2019,4,0.11744948419301164,2019-04-01
OAES,2019,5,0.136805906406179,2019-05-01
OAES,2019,6,0.1692649944080524,2019-06-01
OAES,2019,7,0.1868543173695497,2019-07-01
OAES,2019,8,0.16542844036697246,2019-08-01
OAES,2019,9,0.1885189491181088,2019-09-01
OAES,2019,10,0.1757731495031965,2019-10-01
OAES,2019,11,0.15868818897637796,2019-11-01
OAES,2019,12,0.1544224475359585,2019-12-01
OAES,2020,1,0.15847119159524467,2020-01-01
OAES,2020,2,0.1562760398462076,2020-02-01
OAES,2020,3,0.1453180373399167,2020-03-01
OAES,2020,4,0.16341448494453248,2020-04-01
OAES,2020,5,0.20435011060882946,2020-05-01
OAES,2020,6,0.17750754653697803,2020-06-01
OAES,2020,7,0.17436578647106765,2020-07-01
OAES,2020,8,0.1623759706190976,2020-08-01
OAES,2020,9,0.16767732331663884,2020-09-01
OAES,2020,10,0.15417493723487144,2020-10-01
OAES,2020,11,0.16101229745863893,2020-11-01
OAES,2020,12,0.17096477537437604,2020-12-01
STER,2017,5,0.24136666666666667,2017-05-01
STER,2017,7,0.1402357142857143,2017-07-01
STER,2017,8,0.17038,2017-08-01
STER,2017,9,0.15815652173913045,2017-09-01
STER,2017,10,0.14806,2017-10-01
STER,2017,11,0.14003333333333334,2017-11-01
STER,2017,12,0.15032857142857142,2017-12-01
STER,2018,1,0.06656666666666666,2018-01-01
STER,2018,2,0.14425294117647058,2018-02-01
STER,2018,3,0.2079,2018-03-01
STER,2018,4,0.1567090909090909,2018-04-01
STER,2018,5,0.23193333333333332,2018-05-01
STER,2018,6,0.1763875,2018-06-01
STER,2018,7,0.15726190476190477,2018-07-01
STER,2018,8,0.17006,2018-08-01
STER,2018,9,0.16846063258184235,2018-09-01
STER,2018,10,0.17512703859997517,2018-10-01
STER,2018,11,0.15696820238745415,2018-11-01
STER,2018,12,0.13481020114351527,2018-12-01
STER,2019,1,0.12176769512875707,2019-01-01
STER,2019,2,0.1121341206511331,2019-02-01
STER,2019,3,0.13854689086294417,2019-03-01
STER,2019,4,0.13615045111502014,2019-04-01
STER,2019,5,0.14448903953684003,2019-05-01
STER,2019,6,0.16699479310551918,2019-06-01
STER,2019,7,0.19012540385168153,2019-07-01
