uid,recorduid,domainID,siteID,namedLocation,collectedBy,startDate,collectDate,streamStage,streamStageUnits,handheldDeviceID,velocitySensorID,filterParamTime,stationEntryTest,flowCalculation,waterEdge,totalDischarge,totalDischargeUnits,samplingProtocolVersion,averageVelocityUnits,waterDepthUnits,tapeDistanceUnits,flowCalcQF,dischargeUnitsQF,streamStageUnitsQF,averageVelocityUnitsQF,waterDepthUnitsQF,tapeDistanceUnitsQF,lowVelocityFinalQF,curveIDToInclude,curveIDToIncludeNotes,dataQF,publicationDate,release
083f3aec-5f6c-446a-b170-58803294a420,a2001916-3cc8-4dce-a061-e20fa1d0a793,D08,MAYF,MAYF.AOS.discharge,KJP,2018-01-02T06:43:00Z,2018-01-02T06:43:00Z,0.34,meter,6.5523480861e-313,6.5542897012e-313,10,Non-fixed,Mean-section,Right edge water,104,litersPerSecond,NEON.DOC.001085vD,meterPerSecond,meter,meter,1,0,0,0,0,0,0,NA,NA,NA,2020-12-18T13:33:43Z,RELEASE-2021
a9d1b490-a558-4eee-b4a9-3a8968ec5dff,62f1b0ca-793f-4ca3-8fdf-9f09c6469374,D08,MAYF,MAYF.AOS.discharge,JG,2018-01-26T16:52:00Z,2018-01-26T16:52:00Z,0.35,meter,6.5523480861e-313,6.5542897012e-313,10,Non-fixed,Mean-section,Right edge water,264.6,litersPerSecond,NEON.DOC.001085vD,meterPerSecond,meter,meter,1,0,0,0,0,0,0,NA,NA,NA,2020-12-18T13:33:43Z,RELEASE-2021
ac7f2ec5-74c5-4d36-b2de-3cdddea22721,505817e8-b9a7-44c8-a806-3a873682dbf5,D08,MAYF,MAYF.AOS.discharge,CHURAK,2018-02-01T17:27:00Z,2018-02-01T17:27:00Z,0.39,meter,6.5523480861e-313,6.5542897012e-313,10,Non-fixed,Mean-section,Right edge water,179.1,litersPerSecond,NEON.DOC.001085vD,meterPerSecond,meter,meter,1,0,0,0,0,0,0,NA,NA,NA,2020-12-18T13:33:34Z,RELEASE-2021
5fc4e305-09e5-43f5-841b-d29b677c1945,2c3a8ccb-6918-4aa2-a2b1-fa296d5b7c99,D08,MAYF,MAYF.AOS.discharge,CHURAK,2018-02-06T19:50:00Z,2018-02-06T19:50:00Z,0.57,meter,6.5523480861e-313,6.5542897012e-313,10,Non-fixed,Mean-section,Right edge water,470.2,litersPerSecond,NEON.DOC.001085vD,meterPerSecond,meter,meter,1,0,0,0,0,0,0,NA,NA,NA,2020-12-18T13:33:34Z,RELEASE-2021
8a613fe9-df81-41ba-bf54-730caad0428c,60dc6ed1-6e94-4123-8885-6084b168d169,D08,MAYF,MAYF.AOS.discharge,DS,2018-02-19T17:37:00Z,2018-02-19T17:37:00Z,0.46,meter,6.5523480861e-313,6.5542897012e-313,10,Non-fixed,Mean-section,Right edge water,301,litersPerSecond,NEON.DOC.001085vD,meterPerSecond,meter,meter,1,0,0,0,0,0,0,NA,NA,NA,2020-12-18T13:33:34Z,RELEASE-2021
cea67f31-f7c3-4adf-b948-db7b4dbbad68,dbbb77a1-58ed-4bd1-a445-eda9bc3e9124,D08,MAYF,MAYF.AOS.discharge,KSMILLER,2018-03-14T05:04:00Z,2018-03-14T05:04:00Z,0.53,meter,6.5523480861e-313,6.5542897012e-313,10,Non-fixed,Mean-section,Right edge water,594.6,litersPerSecond,NEON.DOC.001085vD,meterPerSecond,meter,meter,1,0,0,0,0,0,0,NA,NA,NA,2020-12-18T13:35:02Z,RELEASE-2021
a3a7f979-49ed-41ba-87db-9f76d93930bc,bad509fb-7437-488b-86c9-ba9f878e108e,D08,MAYF,MAYF.AOS.discharge,CHURAK,2018-03-20T15:16:00Z,2018-03-20T15:16:00Z,0.44,meter,6.5523480861e-313,6.5542897012e-313,10,Non-fixed,Mean-section,Right edge water,257.9,litersPerSecond,NEON.DOC.001085vD,meterPerSecond,meter,meter,1,0,0,0,0,0,0,NA,NA,NA,2020-12-18T13:35:02Z,RELEASE-2021
ba5986d6-1019-47bf-b8d8-88f34eba845f,9773476f-bef0-4501-8195-4ce8ba6c0240,D08,MAYF,MAYF.AOS.discharge,KSM,2018-03-28T15:04:00Z,2018-03-28T15:04:00Z,0.39,meter,6.5523480861e-313,6.5542897012e-313,10,Non-fixed,Mean-section,Right edge water,171.5,litersPerSecond,NEON.DOC.001085vD,meterPerSecond,meter,meter,1,0,0,0,0,0,0,NA,NA,NA,2020-12-18T13:35:02Z,RELEASE-2021
e054f944-880d-4e00-8169-b8a608092743,c57c7fc1-1c69-42fb-88c2-ad1679acd310,D08,MAYF,MAYF.AOS.discharge,KSM,2018-04-09T16:00:00Z,2018-04-09T16:00:00Z,0.46,meter,6.5523480861e-313,6.5542897012e-313,10,Non-fixed,Mean-section,Right edge water,309.9,litersPerSecond,NEON.DOC.001085vD,meterPerSecond,meter,meter,1,0,0,0,0,0,0,NA,NA,NA,2020-12-18T13:34:56Z,RELEASE-2021
9a4031cd-e60c-421e-9220-98f2f3d10c3f,94e307f3-9178-4cd9-a82a-73362ebd0054,D08,MAYF,MAYF.AOS.discharge,DS,2018-05-01T14:03:00Z,2018-05-01T14:03:00Z,0.41,meter,6.5523480861e-313,6.5542897012e-313,10,Non-fixed,Mean-section,Right edge water,537.5,litersPerSecond,NEON.DOC.001085vD,meterPerSecond,meter,meter,1,0,0,0,0,0,0,NA,NA,NA,2020-12-18T13:34:20Z,RELEASE-2021
