uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,eventType,dataCollected,samplingProtocolVersion,targetTaxaPresent,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF,publicationDate,release,subplotsSampled,samplingImpractical,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent
3b4427c2-c93f-4191-8e9a-e24fc0e7f72a,HARV_013.basePlot.vst,2014-01-13T00:00:00Z,D01,HARV,HARV_013,distributed,evergreenForest,42.392282,-72.254598,WGS84,20.2,725973.86,4696983.89,18N,184.6,0.2,vst_HARV_2014,NA,NA,NEON.DOC.000987vD,NA,NA,NA,NA,NA,NA,NA,1,noneSelected,400,8,400,QC: No Errors,D01KMG16,NA,legacyData,20201217T042116Z,RELEASE-2021,NA,NA,NA,NA
0db32dde-90b6-4ed8-aea3-cf3520fc1272,HARV_001.basePlot.vst,2014-01-30T00:00:00Z,D01,HARV,HARV_001,distributed,deciduousForest,42.424246,-72.258285,WGS84,20.1,725555.73,4700523.64,18N,190,0.2,vst_HARV_2014,NA,NA,NEON.DOC.000987vD,NA,NA,NA,NA,NA,NA,NA,10,noneSelected,400,80,400,QC: No Error,D01DRC25,NA,legacyData,20201217T042116Z,RELEASE-2021,NA,NA,NA,NA
e9434902-2455-4faa-8a6f-9ba5bac22298,HARV_027.basePlot.vst,2014-02-03T00:00:00Z,D01,HARV,HARV_027,distributed,evergreenForest,42.43035,-72.253258,WGS84,20.1,725947.38,4701214.85,18N,183.1,0.2,vst_HARV_2014,NA,NA,NEON.DOC.000987vD,NA,NA,NA,NA,NA,NA,NA,noneSelected,noneSelected,400,400,400,all shrubs marked 'ssh' determined likely to be sms; QC: No Error,D01DRC25,NA,legacyData,20201217T041914Z,RELEASE-2021,NA,NA,NA,NA
69f4e648-fbae-48d3-9976-437cfb95706b,HARV_022.basePlot.vst,2014-02-07T00:00:00Z,D01,HARV,HARV_022,distributed,evergreenForest,42.434188,-72.198776,WGS84,20.2,730415.32,4701787.58,18N,193.5,0.3,vst_HARV_2014,NA,NA,NEON.DOC.000987vD,NA,NA,NA,NA,NA,NA,NA,noneSelected,noneSelected,400,400,400,QC: No Error,D01DRC25,NA,legacyData,20201217T041914Z,RELEASE-2021,NA,NA,NA,NA
85e3a200-7a06-4b74-b513-7755133de581,HARV_008.basePlot.vst,2014-05-27T00:00:00Z,D01,HARV,HARV_008,distributed,deciduousForest,42.444557,-72.226082,WGS84,20.2,728131.45,4702865.25,18N,242.2,0.2,vst_HARV_2014,NA,NA,NEON.DOC.000987vD,NA,NA,NA,NA,NA,NA,NA,10,noneSelected,400,80,400,NA,D01LEL27,NA,legacyData,20201217T042054Z,RELEASE-2021,NA,NA,NA,NA
686a9a6f-d35c-4ea5-a671-f834c22196dd,HARV_010.basePlot.vst,2014-05-28T00:00:00Z,D01,HARV,HARV_010,distributed,mixedForest,42.424723,-72.254599,WGS84,20.1,725857.27,4700586.41,18N,206.9,0.1,vst_HARV_2014,NA,NA,NEON.DOC.000987vD,NA,NA,NA,NA,NA,NA,NA,noneSelected,noneSelected,400,400,400,NA,D01DRC25,NA,legacyData,20201217T042054Z,RELEASE-2021,NA,NA,NA,NA
32518ad5-6827-4ebc-9308-c5ebd3262141,HARV_004.basePlot.vst,2014-07-21T00:00:00Z,D01,HARV,HARV_004,distributed,mixedForest,42.427091,-72.229737,WGS84,20.2,727894.17,4700915.85,18N,199.7,0.2,vst_HARV_2014,NA,NA,NEON.DOC.000987vD,NA,NA,NA,NA,NA,NA,NA,noneSelected,noneSelected,400,400,400,NA,D01CEG10,NA,legacyData,20201217T042116Z,RELEASE-2021,NA,NA,NA,NA
abf52d17-fa6b-4a8e-879f-cb5eac9ccfcf,HARV_004.basePlot.vst,2014-07-25T00:00:00Z,D01,HARV,HARV_004,distributed,mixedForest,42.427091,-72.229737,WGS84,20.2,727894.17,4700915.85,18N,199.7,0.2,vst_HARV_2014,NA,NA,NEON.DOC.000987vD,NA,NA,NA,NA,NA,NA,NA,noneSelected,noneSelected,400,400,400,NA,D01LEL27,NA,legacyData,20201217T042116Z,RELEASE-2021,NA,NA,NA,NA
386cfecd-2e29-4588-a484-bdb46a7de552,HARV_011.basePlot.vst,2014-07-29T00:00:00Z,D01,HARV,HARV_011,distributed,deciduousForest,42.455924,-72.238278,WGS84,20.3,727087.27,4704094.82,18N,231.5,0.4,vst_HARV_2014,NA,NA,NEON.DOC.000987vD,NA,NA,NA,NA,NA,NA,NA,noneSelected,noneSelected,400,400,400,NA,D01CEG10,NA,legacyData,20201217T042116Z,RELEASE-2021,NA,NA,NA,NA
24eb7da3-e93f-4271-a41a-98d1ab109f61,HARV_021.basePlot.vst,2014-07-29T00:00:00Z,D01,HARV,HARV_021,distributed,evergreenForest,42.45243,-72.250472,WGS84,20.1,726097.1,4703674.24,18N,175.1,0.1,vst_HARV_2014,NA,NA,NEON.DOC.000987vD,NA,NA,NA,NA,NA,NA,NA,noneSelected,noneSelected,400,400,400,QC: NO ERRORS,D01DRC25,NA,legacyData,20201217T042116Z,RELEASE-2021,NA,NA,NA,NA
