uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,groupID,taxonID,scientificName,taxonRank,identificationReferences,identificationQualifier,volumePercent,livePercent,deadPercent,canopyArea,meanHeight,remarks,measuredBy,recordedBy,dataQF,publicationDate,release
8078f561-504d-45dc-9258-672cc982d316,HARV_023.basePlot.vst,2015-09-24T00:00:00Z,vst_HARV_2015,D01,HARV,HARV_023,31,1,31 _0,BETH,Berberis thunbergii DC.,species,NA,NA,93,95,5,9.2,1.66,NA,dcrandall@neoninc.org,dcrandall@neoninc.org,legacyData,20201217T052959Z,RELEASE-2021
f029f6cd-c989-4fd8-afc6-546f4068b9b0,HARV_023.basePlot.vst,2015-09-24T00:00:00Z,vst_HARV_2015,D01,HARV,HARV_023,31,1,31 _0,ILEX,Ilex sp.,genus,NA,NA,3,100,0,9.2,1.66,NA,dcrandall@neoninc.org,dcrandall@neoninc.org,legacyData,20201217T052959Z,RELEASE-2021
a50e415c-468a-4393-a911-43cc805295a7,HARV_023.basePlot.vst,2015-09-24T00:00:00Z,vst_HARV_2015,D01,HARV,HARV_023,41,4,41 _0,BETH,Berberis thunbergii DC.,species,NA,NA,100,50,50,3.8,1.5,Entered 99.9 for %volumeOfGroup because a value of 100 was not acceptable.,dcrandall@neoninc.org,dcrandall@neoninc.org,legacyData,20201217T052959Z,RELEASE-2021
755f68e7-5744-4e9e-a2bc-cba1bce33534,HARV_023.basePlot.vst,2015-09-24T00:00:00Z,vst_HARV_2015,D01,HARV,HARV_023,31,1,31 _0,PIST,Pinus strobus L.,species,NA,NA,4,100,0,9.2,1.66,NA,dcrandall@neoninc.org,dcrandall@neoninc.org,legacyData,20201217T052959Z,RELEASE-2021
3b4d73fb-a3ee-4750-9b53-303cc81875de,HARV_023.basePlot.vst,2019-09-12T00:00:00Z,vst_HARV_2019,D01,HARV,HARV_023,31,1,31_01,BETH,Berberis thunbergii DC.,species,"Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",NA,100,100,0,5,1.76,NA,0000-0002-1884-3191,0000-0003-1933-3182,NA,20210114T174807Z,RELEASE-2021
a61d013d-555b-4ab8-8cfa-158a4af0e75a,HARV_023.basePlot.vst,2019-09-18T00:00:00Z,vst_HARV_2019,D01,HARV,HARV_023,41,4,41_01,BETH,Berberis thunbergii DC.,species,"Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",NA,100,100,0,5,1.34,NA,0000-0002-1884-3191,0000-0001-6846-5179,NA,20210114T174807Z,RELEASE-2021
c96dffa8-81c9-4285-85ae-a1e3b6504fa3,SCBI_051.basePlot.vst,2016-10-12T00:00:00Z,vst_SCBI_2016,D02,SCBI,SCBI_051,39,1,39_01,BETH,Berberis thunbergii DC.,species,NA,NA,98,100,0,4.1,1.5,NA,gchapman@neoninc.org,tspindler@field-ops.org,NA,20201217T173324Z,RELEASE-2021
d2b07750-f21b-4390-b2a0-7df7d041c35d,SCBI_051.basePlot.vst,2016-10-12T00:00:00Z,vst_SCBI_2016,D02,SCBI,SCBI_051,39,1,39_01,LIBE3,Lindera benzoin (L.) Blume,species,NA,NA,2,100,0,4.1,1.5,NA,gchapman@neoninc.org,tspindler@field-ops.org,NA,20201217T173324Z,RELEASE-2021
343325c6-c3c2-4367-b10a-a454e06d5d4b,SCBI_051.basePlot.vst,2016-10-12T00:00:00Z,vst_SCBI_2016,D02,SCBI,SCBI_051,39,1,39_02,LIBE3,Lindera benzoin (L.) Blume,species,NA,NA,11,100,0,2.9,1.48,NA,gchapman@neoninc.org,tspindler@field-ops.org,NA,20201217T173324Z,RELEASE-2021
896b26db-217b-4265-8d62-45ac86b2caba,SCBI_051.basePlot.vst,2016-10-12T00:00:00Z,vst_SCBI_2016,D02,SCBI,SCBI_051,39,1,39_02,ROMU,Rosa multiflora Thunb.,species,NA,NA,89,100,0,2.9,1.48,NA,gchapman@neoninc.org,tspindler@field-ops.org,NA,20201217T173324Z,RELEASE-2021
238b4a2e-9f2d-40c1-883d-d4499eb62213,SCBI_051.basePlot.vst,2017-11-02T00:00:00Z,vst_SCBI_2017,D02,SCBI,SCBI_051,39,1,39_02,ROMU,Rosa multiflora Thunb.,species,NA,NA,93,100,0,5.3,1.7,Some ROMU may not be in nested subplot or may not qualify at ddh,gchapman@neoninc.org,jporta@BattelleEcology.org,NA,20210114T175131Z,RELEASE-2021
