siteID,HOR.VER,name,description,start,end,referenceName,referenceDescription,referenceStart,referenceEnd,xOffset,yOffset,zOffset,pitch,roll,azimuth,referenceLatitude,referenceLongitude,referenceElevation,publicationDate
DSNY,001.501,CFGLOC106114,Disney Soil Water Content Profile SP1,2010-01-01T00:00:00Z,NA,SOILPL100336,"Disney Soil Plot, SP1",2010-01-01T00:00:00Z,NA,2.72,0.15,0.01,1.9,0,33,28.125035,-81.435892,19.75,20210319T214828Z
DSNY,001.502,CFGLOC106118,"Disney Soil Temp Profile SP1, Z2 Depth",2010-01-01T00:00:00Z,NA,SOILPL100336,"Disney Soil Plot, SP1",2010-01-01T00:00:00Z,NA,3.17,0.12,-0.06,0.7,0,100,28.125035,-81.435892,19.75,20210319T214828Z
DSNY,001.503,CFGLOC106120,"Disney Soil Temp Profile SP1, Z3 Depth",2010-01-01T00:00:00Z,NA,SOILPL100336,"Disney Soil Plot, SP1",2010-01-01T00:00:00Z,NA,3.17,0.12,-0.16,0.7,0,100,28.125035,-81.435892,19.75,20210319T214828Z
DSNY,001.504,CFGLOC106122,"Disney Soil Temp Profile SP1, Z4 Depth",2010-01-01T00:00:00Z,NA,SOILPL100336,"Disney Soil Plot, SP1",2010-01-01T00:00:00Z,NA,3.17,0.12,-0.26,0.7,0,100,28.125035,-81.435892,19.75,20210319T214828Z
DSNY,001.505,CFGLOC106124,"Disney Soil Temp Profile SP1, Z5 Depth",2010-01-01T00:00:00Z,NA,SOILPL100336,"Disney Soil Plot, SP1",2010-01-01T00:00:00Z,NA,3.17,0.12,-0.36,0.7,0,100,28.125035,-81.435892,19.75,20210319T214828Z
DSNY,001.506,CFGLOC106126,"Disney Soil Temp Profile SP1, Z6 Depth",2010-01-01T00:00:00Z,NA,SOILPL100336,"Disney Soil Plot, SP1",2010-01-01T00:00:00Z,NA,3.17,0.12,-0.56,0.7,0,100,28.125035,-81.435892,19.75,20210319T214828Z
DSNY,001.507,CFGLOC106128,"Disney Soil Temp Profile SP1, Z7 Depth",2010-01-01T00:00:00Z,NA,SOILPL100336,"Disney Soil Plot, SP1",2010-01-01T00:00:00Z,NA,3.17,0.12,-1.06,0.7,0,100,28.125035,-81.435892,19.75,20210319T214828Z
DSNY,001.508,CFGLOC106130,"Disney Soil Temp Profile SP1, Z8 Depth",2010-01-01T00:00:00Z,NA,SOILPL100336,"Disney Soil Plot, SP1",2010-01-01T00:00:00Z,NA,3.17,0.12,-1.66,0.7,0,100,28.125035,-81.435892,19.75,20210319T214828Z
DSNY,002.501,CFGLOC106141,Disney Soil Water Content Profile SP2,2010-01-01T00:00:00Z,NA,SOILPL106133,"Disney Soil Plot, SP2",2010-01-01T00:00:00Z,NA,2.42,0.01,0,1.1,0,40,28.125079,-81.435437,19.78,20210319T214828Z
DSNY,002.502,CFGLOC106145,"Disney Soil Temp Profile SP2, Z2 Depth",2010-01-01T00:00:00Z,NA,SOILPL106133,"Disney Soil Plot, SP2",2010-01-01T00:00:00Z,NA,2.82,0.02,-0.06,0.5,0,90,28.125079,-81.435437,19.78,20210319T214828Z
DSNY,002.503,CFGLOC106147,"Disney Soil Temp Profile SP2, Z3 Depth",2010-01-01T00:00:00Z,NA,SOILPL106133,"Disney Soil Plot, SP2",2010-01-01T00:00:00Z,NA,2.82,0.02,-0.16,0.5,0,90,28.125079,-81.435437,19.78,20210319T214828Z
DSNY,002.504,CFGLOC106149,"Disney Soil Temp Profile SP2, Z4 Depth",2010-01-01T00:00:00Z,NA,SOILPL106133,"Disney Soil Plot, SP2",2010-01-01T00:00:00Z,NA,2.82,0.02,-0.26,0.5,0,90,28.125079,-81.435437,19.78,20210319T214828Z
DSNY,002.505,CFGLOC106151,"Disney Soil Temp Profile SP2, Z5 Depth",2010-01-01T00:00:00Z,NA,SOILPL106133,"Disney Soil Plot, SP2",2010-01-01T00:00:00Z,NA,2.82,0.02,-0.36,0.5,0,90,28.125079,-81.435437,19.78,20210319T214828Z
DSNY,002.506,CFGLOC106153,"Disney Soil Temp Profile SP2, Z6 Depth",2010-01-01T00:00:00Z,NA,SOILPL106133,"Disney Soil Plot, SP2",2010-01-01T00:00:00Z,NA,2.82,0.02,-0.56,0.5,0,90,28.125079,-81.435437,19.78,20210319T214828Z
DSNY,002.507,CFGLOC106155,"Disney Soil Temp Profile SP2, Z7 Depth",2010-01-01T00:00:00Z,NA,SOILPL106133,"Disney Soil Plot, SP2",2010-01-01T00:00:00Z,NA,2.82,0.02,-1.06,0.5,0,90,28.125079,-81.435437,19.78,20210319T214828Z
