siteID,plotID,nlcdClass,collectDate,taxonID,tagID,sex,lifeStage
SCBI,SCBI_008,deciduousForest,2018-04-08,PELE,NEON.MAM.D02.O008E1020180408,M,adult
SCBI,SCBI_003,deciduousForest,2018-04-13,PELE,NEON.MAM.D02.R2743,F,adult
SCBI,SCBI_002,deciduousForest,2018-05-08,PELE,NEON.MAM.D02.R2692,F,subadult
SCBI,SCBI_008,deciduousForest,2018-05-08,PELE,NEON.MAM.D02.R2760,M,adult
SCBI,SCBI_008,deciduousForest,2018-05-08,PELE,NEON.MAM.D02.R2757,F,adult
SCBI,SCBI_035,pastureHay,2018-05-08,BLBR,NEON.MAM.D02.O035E720180508,U,adult
SCBI,SCBI_035,pastureHay,2018-05-08,PELE,NEON.MAM.D02.R2755,F,subadult
SCBI,SCBI_035,pastureHay,2018-05-08,PELE,NEON.MAM.D02.R2754,F,adult
SCBI,SCBI_035,pastureHay,2018-05-08,PELE,NEON.MAM.D02.R2774,M,subadult
SCBI,SCBI_008,deciduousForest,2018-05-08,PELE,NEON.MAM.D02.R2758,F,adult
SCBI,SCBI_008,deciduousForest,2018-05-08,PELE,NEON.MAM.D02.R2759,M,adult
SCBI,SCBI_002,deciduousForest,2018-05-08,PELE,NEON.MAM.D02.R2612,F,adult
SCBI,SCBI_035,pastureHay,2018-05-08,MUMU,NEON.MAM.D02.R2756,F,adult
SCBI,SCBI_008,deciduousForest,2018-05-09,PELE,NEON.MAM.D02.R2772,M,adult
SCBI,SCBI_004,deciduousForest,2018-05-09,PELE,NEON.MAM.D02.R2771,F,subadult
SCBI,SCBI_008,deciduousForest,2018-05-09,PELE,NEON.MAM.D02.R2757,F,adult
SCBI,SCBI_004,deciduousForest,2018-05-09,PELE,NEON.MAM.D02.R2763,M,subadult
SCBI,SCBI_008,deciduousForest,2018-05-09,PELE,NEON.MAM.D02.R2670,F,adult
SCBI,SCBI_008,deciduousForest,2018-05-09,SRSP,NEON.MAM.D02.O008H620180509,F,adult
SCBI,SCBI_008,deciduousForest,2018-05-09,PELE,NEON.MAM.D02.R2697,F,adult
SCBI,SCBI_035,pastureHay,2018-05-09,PELE,NEON.MAM.D02.R2691,M,subadult
SCBI,SCBI_035,pastureHay,2018-05-09,PELE,NEON.MAM.D02.R2755,F,adult
SCBI,SCBI_035,pastureHay,2018-05-09,PELE,NEON.MAM.D02.R2774,M,adult
SCBI,SCBI_035,pastureHay,2018-05-09,PELE,NEON.MAM.D02.R2754,F,adult
SCBI,SCBI_008,deciduousForest,2018-05-09,PELE,NEON.MAM.D02.R2758,F,adult
SCBI,SCBI_008,deciduousForest,2018-05-09,PELE,NEON.MAM.D02.R2759,M,adult
SCBI,SCBI_004,deciduousForest,2018-05-09,SRSP,NEON.MAM.D02.O004D320180509,F,adult
