uid,recorduid,domainID,siteID,namedLocation,collectedBy,startDate,collectDate,streamStage,streamStageUnits,stationNumber,tapeDistance,streamProfilingMethod,waterDepth,edgeFactor,surfaceVelocity,oneFifthDepthVelocity,twoFifthDepthVelocity,threeFifthDepthVelocity,fourFifthDepthVelocity,bedVelocity,averageVelocity,sectionArea,sectionFlow,lowVelocityQF,dataQF,publicationDate,release
c80c1ecb-14c0-4fd7-a414-b0356289e828,a2001916-3cc8-4dce-a061-e20fa1d0a793,D08,MAYF,MAYF.AOS.discharge,KJP,2018-01-02T06:43:00Z,2018-01-02T06:43:00Z,NA,NA,5,3.1,1 point,0.32,-,0,0,0,0.06,0,0,0.06,0.1,4.67,0,NA,20201218T133343Z,RELEASE-2021
7a0a3ed5-d4e6-45ab-9a24-1447f53f5b22,a2001916-3cc8-4dce-a061-e20fa1d0a793,D08,MAYF,MAYF.AOS.discharge,KJP,2018-01-02T06:43:00Z,2018-01-02T06:43:00Z,NA,NA,20,0.95,1 point,0.44,-,0,0,0,0.04,0,0,0.04,0.21,4.11,0,NA,20201218T133343Z,RELEASE-2021
b2bee51d-5bdb-44ae-ba3f-2b50c2f629a4,a2001916-3cc8-4dce-a061-e20fa1d0a793,D08,MAYF,MAYF.AOS.discharge,KJP,2018-01-02T06:43:00Z,2018-01-02T06:43:00Z,NA,NA,8,2.37,2 point,0.54,-,0,0.07,0,0,0.07,0,0.07,0.1,5.56,0,NA,20201218T133343Z,RELEASE-2021
f306100f-08c1-4c4f-9045-f213244c2dbd,a2001916-3cc8-4dce-a061-e20fa1d0a793,D08,MAYF,MAYF.AOS.discharge,KJP,2018-01-02T06:43:00Z,2018-01-02T06:43:00Z,NA,NA,6,2.78,1 point,0.32,-,0,0,0,0.03,0,0,0.03,0.09,4.21,0,NA,20201218T133343Z,RELEASE-2021
c6e03136-c174-445a-8f35-c2553b6ed10f,a2001916-3cc8-4dce-a061-e20fa1d0a793,D08,MAYF,MAYF.AOS.discharge,KJP,2018-01-02T06:43:00Z,2018-01-02T06:43:00Z,NA,NA,12,1.9,2 point,0.74,-,0,0.1,0,0,0.05,0,0.08,0.08,6.45,0,NA,20201218T133343Z,RELEASE-2021
5099f44b-a1a1-46b8-8906-cc10b8948afd,a2001916-3cc8-4dce-a061-e20fa1d0a793,D08,MAYF,MAYF.AOS.discharge,KJP,2018-01-02T06:43:00Z,2018-01-02T06:43:00Z,NA,NA,14,1.65,2 point,0.78,-,0,0.12,0,0,0.12,0,0.12,0,0,0,NA,20201218T133343Z,RELEASE-2021
0b72b499-ad73-4697-943d-a9f81336044d,a2001916-3cc8-4dce-a061-e20fa1d0a793,D08,MAYF,MAYF.AOS.discharge,KJP,2018-01-02T06:43:00Z,2018-01-02T06:43:00Z,NA,NA,2,4.95,1 point,0.14,-,0,0,0,0.01,0,0,0.01,0.1,0.97,0,NA,20201218T133343Z,RELEASE-2021
f6e6184a-5d4e-4e35-9d51-c08b5624ef9a,a2001916-3cc8-4dce-a061-e20fa1d0a793,D08,MAYF,MAYF.AOS.discharge,KJP,2018-01-02T06:43:00Z,2018-01-02T06:43:00Z,NA,NA,10,2.1,2 point,0.67,-,0,0.07,0,0,0.07,0,0.07,0.07,4.23,0,NA,20201218T133343Z,RELEASE-2021
1d3ceea4-d887-4bc9-8718-77677cdab158,a2001916-3cc8-4dce-a061-e20fa1d0a793,D08,MAYF,MAYF.AOS.discharge,KJP,2018-01-02T06:43:00Z,2018-01-02T06:43:00Z,NA,NA,18,1.2,2 point,0.68,-,0,0.1,0,0,0.03,0,0.07,0.08,3.97,0,NA,20201218T133343Z,RELEASE-2021
058c277c-500d-4939-9997-40f602071f67,a2001916-3cc8-4dce-a061-e20fa1d0a793,D08,MAYF,MAYF.AOS.discharge,KJP,2018-01-02T06:43:00Z,2018-01-02T06:43:00Z,NA,NA,1,5.35,0 point,0,-,0,0,0,0,0,0,0,0.03,0.13,0,NA,20201218T133343Z,RELEASE-2021
fd8c6538-2430-4aa8-b7a3-4b0847dbc22b,a2001916-3cc8-4dce-a061-e20fa1d0a793,D08,MAYF,MAYF.AOS.discharge,KJP,2018-01-02T06:43:00Z,2018-01-02T06:43:00Z,NA,NA,4,3.65,1 point,0.22,-,0,0,0,0.07,0,0,0.07,0.15,9.68,0,NA,20201218T133343Z,RELEASE-2021
df04d458-1b08-49d7-ab4c-3a6b8757f359,a2001916-3cc8-4dce-a061-e20fa1d0a793,D08,MAYF,MAYF.AOS.discharge,KJP,2018-01-02T06:43:00Z,2018-01-02T06:43:00Z,NA,NA,3,4.3,1 point,0.16,-,0,0,0,0.01,0,0,0.01,0.12,4.86,0,NA,20201218T133343Z,RELEASE-2021
43c51285-4351-456f-a63c-f9c33e5a4d1e,a2001916-3cc8-4dce-a061-e20fa1d0a793,D08,MAYF,MAYF.AOS.discharge,KJP,2018-01-02T06:43:00Z,2018-01-02T06:43:00Z,NA,NA,19,1.08,2 point,0.64,-,0,0.04,0,0,0.02,0,0.03,0.07,2.55,0,NA,20201218T133343Z,RELEASE-2021
9941fe04-fb4b-4bee-9be5-d480d8b39cf2,a2001916-3cc8-4dce-a061-e20fa1d0a793,D08,MAYF,MAYF.AOS.discharge,KJP,2018-01-02T06:43:00Z,2018-01-02T06:43:00Z,NA,NA,13,1.8,2 point,0.78,-,0,0.1,0,0,0.08,0,0.09,0.12,12.43,0,NA,20201218T133343Z,RELEASE-2021
8ef55f17-1807-433e-a497-3ecb6e0d3b85,a2001916-3cc8-4dce-a061-e20fa1d0a793,D08,MAYF,MAYF.AOS.discharge,KJP,2018-01-02T06:43:00Z,2018-01-02T06:43:00Z,NA,NA,15,1.75,2 point,0.8,-,0,0.13,0,0,0.15,0,0.14,0.08,8.76,0,NA,20201218T133343Z,RELEASE-2021
ce8501f4-44d4-4e2c-a6a3-6ae572d2a156,a2001916-3cc8-4dce-a061-e20fa1d0a793,D08,MAYF,MAYF.AOS.discharge,KJP,2018-01-02T06:43:00Z,2018-01-02T06:43:00Z,NA,NA,17,1.45,2 point,0.84,-,0,0.04,0,0,0.07,0,0.05,0.19,11.57,0,NA,20201218T133343Z,RELEASE-2021
