uid,nightuid,namedLocation,domainID,siteID,plotID,collectDate,endDate,samplingImpractical,samplingProtocolVersion,remarks,dataQF,publicationDate,release
656eee8f-1ba8-4cfe-8b14-d582a4facfba,fda162dc-c276-4138-92f1-0bdeea7c2b03,SCBI_035.mammalGrid.mam,D02,SCBI,SCBI_035,2018-04-08T00:00:00Z,2018-04-08T00:00:00Z,NA,NEON.DOC.000481vK,Half-burned; half mowed; low of 26 F overnight,NA,20210113T175804Z,RELEASE-2021
a3519283-fa86-4596-a874-eed85a5ca575,0aa11f4b-50b8-4251-9b09-2b059a077bc7,SCBI_008.mammalGrid.mam,D02,SCBI,SCBI_008,2018-04-08T00:00:00Z,2018-04-08T00:00:00Z,NA,NEON.DOC.000481vK,low overnight 26F; plot closed due to high disturbance,NA,20210113T175804Z,RELEASE-2021
f82104da-c676-422f-835e-42dea1952248,64e328b5-03dd-47c7-b575-16eacc7d29a9,SCBI_002.mammalGrid.mam,D02,SCBI,SCBI_002,2018-04-11T00:00:00Z,2018-04-11T00:00:00Z,NA,NEON.DOC.000481vK,NA,NA,20210113T175804Z,RELEASE-2021
205d9385-5ee8-4c19-9256-132692332aa6,667890c6-1a6e-4d41-947e-072cfcab2429,SCBI_035.mammalGrid.mam,D02,SCBI,SCBI_035,2018-04-11T00:00:00Z,2018-04-11T00:00:00Z,NA,NEON.DOC.000481vK,Half of plot mowed within month; other half burned last week,NA,20210113T175804Z,RELEASE-2021
125706c7-afc3-427b-8ca4-7ec12ccc4221,56f8c067-96f9-48e5-911e-efbbf3d20544,SCBI_002.mammalGrid.mam,D02,SCBI,SCBI_002,2018-04-12T00:00:00Z,2018-04-12T00:00:00Z,NA,NEON.DOC.000481vK,Over 30 traps disturbed; all traps removed,NA,20210113T175804Z,RELEASE-2021
b3f3c950-cb46-4284-ba53-d204a2e65bb0,9c0bc5d0-99fe-46ba-8aed-da00f11e144b,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,2018-04-12T00:00:00Z,2018-04-12T00:00:00Z,NA,NEON.DOC.000481vK,Majority of traps were knocked over with batting out,NA,20210113T175804Z,RELEASE-2021
56f160e6-5576-4b36-b4be-413ca9d732ba,8ef8e33f-216b-4f0a-afaf-234cb1f880fe,SCBI_035.mammalGrid.mam,D02,SCBI,SCBI_035,2018-04-12T00:00:00Z,2018-04-12T00:00:00Z,NA,NEON.DOC.000481vK,Field recently burned and mowed ;low grass,NA,20210113T175804Z,RELEASE-2021
bd0ca55a-447b-4241-81bd-7bd2b2bc71ef,50bb65d0-1498-439d-bcee-311654abd345,SCBI_003.mammalGrid.mam,D02,SCBI,SCBI_003,2018-04-13T00:00:00Z,2018-04-13T00:00:00Z,NA,NEON.DOC.000481vK,non-collection bout; took samples as part of practice,NA,20210113T175804Z,RELEASE-2021
2fcfe71c-95cc-432c-9399-2a2f2e1f234d,ab9939b9-9bbc-45cc-806e-2e8fa16081c3,SCBI_008.mammalGrid.mam,D02,SCBI,SCBI_008,2018-05-08T00:00:00Z,2018-05-08T00:00:00Z,NA,NEON.DOC.000481vK,NA,NA,20210113T175858Z,RELEASE-2021
f742c7d5-b0c6-417d-84b4-3f9c2bd5a156,e68fb2b8-7258-4a18-9a96-9dfcd8b85c0a,SCBI_035.mammalGrid.mam,D02,SCBI,SCBI_035,2018-05-08T00:00:00Z,2018-05-08T00:00:00Z,NA,NEON.DOC.000481vK,NA,NA,20210113T175858Z,RELEASE-2021
e366242b-65bf-4392-9269-44741ac13904,76fac893-5b06-45e1-9a3c-206558425ae5,SCBI_002.mammalGrid.mam,D02,SCBI,SCBI_002,2018-05-08T00:00:00Z,2018-05-08T00:00:00Z,NA,NEON.DOC.000481vK,Many were knocked over with batting out,NA,20210113T175858Z,RELEASE-2021
19bdd7d6-82d9-4aab-b118-56a25cce8d40,f4eb8c73-1082-432f-be27-e6c6ac93e069,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,2018-05-09T00:00:00Z,2018-05-09T00:00:00Z,NA,NEON.DOC.000481vK,NA,NA,20210113T175858Z,RELEASE-2021
86cac405-d30f-416e-ab91-893f6d1d71fe,7ca4dd9b-3cda-4733-a63e-edc11d671a4c,SCBI_035.mammalGrid.mam,D02,SCBI,SCBI_035,2018-05-09T00:00:00Z,2018-05-09T00:00:00Z,NA,NEON.DOC.000481vK,NA,NA,20210113T175858Z,RELEASE-2021
420f2efd-d4a3-4a6e-beb3-85fe420606b7,6b020bbf-6260-4c33-ba62-c0dd3c189433,SCBI_008.mammalGrid.mam,D02,SCBI,SCBI_008,2018-05-09T00:00:00Z,2018-05-09T00:00:00Z,NA,NEON.DOC.000481vK,NA,NA,20210113T175858Z,RELEASE-2021
db8f5b1f-2156-441d-81aa-69ad36e7f6c2,fc95a9cc-b1ae-4fe8-80a1-83cde6ed436c,SCBI_008.mammalGrid.mam,D02,SCBI,SCBI_008,2018-05-10T00:00:00Z,2018-05-10T00:00:00Z,NA,NEON.DOC.000481vK,NA,NA,20210113T175858Z,RELEASE-2021
9271632c-5d15-42b5-9fc9-0bb5be4fd306,d1a5162c-f62c-4e2a-8d05-1eb39c9681e9,SCBI_035.mammalGrid.mam,D02,SCBI,SCBI_035,2018-05-10T00:00:00Z,2018-05-10T00:00:00Z,NA,NEON.DOC.000481vK,NA,NA,20210113T175858Z,RELEASE-2021
da05c1cf-5a86-48f9-8ba8-2bca23f465ca,4cc1ce41-ec92-463e-a955-9bc707a91dee,SCBI_003.mammalGrid.mam,D02,SCBI,SCBI_003,2018-05-10T00:00:00Z,2018-05-10T00:00:00Z,NA,NEON.DOC.000481vK,Some traps destroyed by bears,NA,20210113T175858Z,RELEASE-2021
c22ced90-eb4a-46ff-807f-0e597d81fac3,6e828721-c731-425a-81ff-41ca3c8b18a3,SCBI_008.mammalGrid.mam,D02,SCBI,SCBI_008,2018-06-05T00:00:00Z,2018-06-05T00:00:00Z,NA,NEON.DOC.000481vK,NA,NA,20210113T175928Z,RELEASE-2021
0d504fcc-7fdc-4701-ae7b-9c58cff22a66,6508d1ab-770b-46f4-ba53-d14cc1342feb,SCBI_035.mammalGrid.mam,D02,SCBI,SCBI_035,2018-06-05T00:00:00Z,2018-06-05T00:00:00Z,NA,NEON.DOC.000481vK,NA,NA,20210113T175928Z,RELEASE-2021
6e041601-7559-43a8-8059-65e9ab1df2bc,9454871f-094c-4902-af48-07bbfa26bdf6,SCBI_002.mammalGrid.mam,D02,SCBI,SCBI_002,2018-06-05T00:00:00Z,2018-06-05T00:00:00Z,NA,NEON.DOC.000481vK,Lots of Disturbed and damaged traps- bear; plot closed,NA,20210113T175928Z,RELEASE-2021
0e9edbc6-485d-4f69-8075-6fd8c7a93063,cc788356-ae97-4e2f-8a16-93a4ee93aacc,SCBI_035.mammalGrid.mam,D02,SCBI,SCBI_035,2018-06-06T00:00:00Z,2018-06-06T00:00:00Z,NA,NEON.DOC.000481vK,NA,NA,20210113T175928Z,RELEASE-2021
d658e9dd-10ba-4a74-833c-215380a1e258,e06d5b6a-5f58-46ce-a17f-69f98e77690d,SCBI_008.mammalGrid.mam,D02,SCBI,SCBI_008,2018-06-06T00:00:00Z,2018-06-06T00:00:00Z,NA,NEON.DOC.000481vK,Plot closed due to high disturbance,NA,20210113T175928Z,RELEASE-2021
917df378-4c6d-4f99-8954-4b1e9f5b798f,e3f3b018-9276-47c8-b3ea-8e39f78c64a9,SCBI_035.mammalGrid.mam,D02,SCBI,SCBI_035,2018-06-07T00:00:00Z,2018-06-07T00:00:00Z,NA,NEON.DOC.000481vK,Grass 1 to 1.5m high,NA,20210113T175928Z,RELEASE-2021
f93f762f-01f8-4f23-aa73-64021bdc31ee,4a0bc913-cc43-4daa-a05b-c9a467bc4d61,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,2018-06-07T00:00:00Z,2018-06-07T00:00:00Z,NA,NEON.DOC.000481vK,NA,NA,20210113T175928Z,RELEASE-2021
6a0f1240-dba4-45d3-99f9-0341b4e3c39c,4f729a85-9d9a-4b94-9aa8-606cf6ceb719,SCBI_003.mammalGrid.mam,D02,SCBI,SCBI_003,2018-06-08T00:00:00Z,2018-06-08T00:00:00Z,NA,NEON.DOC.000481vK,NA,NA,20210113T175928Z,RELEASE-2021
