uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataQF,publicationDate,release
ed903a63-6724-4eb9-8e4a-b3fd4186d048,DSNY_002.basePlot.vst,2014-09-24T00:00:00Z,vst_DSNY_2014,D03,DSNY,DSNY_002,NA,NEON.PLA.D03.DSNY.00028,NA,NA,sapling,NA,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurment height: 210 cm; dead,NA,NA,legacyData,20201217T035409Z,RELEASE-2021
008246af-edd8-47fd-9bf6-0f376f5ea43f,DSNY_002.basePlot.vst,2014-09-24T00:00:00Z,vst_DSNY_2014,D03,DSNY,DSNY_002,NA,NEON.PLA.D03.DSNY.00037,NA,NA,sapling,NA,12,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead; No transcription errors found,NA,NA,legacyData,20201217T035409Z,RELEASE-2021
16d5616e-8e80-4810-81e1-5a95c8a36f10,DSNY_023.basePlot.vst,2014-10-14T00:00:00Z,vst_DSNY_2014,D03,DSNY,DSNY_023,NA,NEON.PLA.D03.DSNY.00213,NA,NA,small tree,NA,9.1,130,NA,4.2,NA,NA,NA,3.1,1.2,Open grown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,legacyData | noMapTagData,20201217T035441Z,RELEASE-2021
a7c97124-3b66-4903-bc6a-69baee095d8d,DSNY_023.basePlot.vst,2014-10-14T00:00:00Z,vst_DSNY_2014,D03,DSNY,DSNY_023,NA,NEON.PLA.D03.DSNY.00217,NA,NA,small tree,NA,4.4,130,NA,0.1,NA,NA,NA,0.7,0.5,Open grown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,legacyData | noMapTagData,20201217T035441Z,RELEASE-2021
460b1f6c-af1a-4453-9e27-b61984db4ae9,DSNY_023.basePlot.vst,2014-10-14T00:00:00Z,vst_DSNY_2014,D03,DSNY,DSNY_023,NA,NEON.PLA.D03.DSNY.00215,NA,NA,small tree,NA,7.9,120,NA,1.2,NA,NA,NA,1.5,1.1,Open grown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,branched at 130; No transcription errors found,NA,NA,legacyData | noMapTagData,20201217T035441Z,RELEASE-2021
6fbeddfa-f706-4447-8ed8-2e895371e99c,DSNY_023.basePlot.vst,2014-10-14T00:00:00Z,vst_DSNY_2014,D03,DSNY,DSNY_023,NA,NEON.PLA.D03.DSNY.00218,NA,NA,small tree,NA,4.3,130,NA,0.3,NA,NA,NA,1,0.5,Open grown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,legacyData | noMapTagData,20201217T035441Z,RELEASE-2021
d8152fde-9e05-4571-a9f0-d2e69dd8fc7d,DSNY_028.basePlot.vst,2014-10-14T00:00:00Z,vst_DSNY_2014,D03,DSNY,DSNY_028,NA,NEON.PLA.D03.DSNY.00228,NA,NA,NA,NA,5.4,130,NA,1,NA,NA,NA,1.4,0.7,Full sun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,legacyData | noMapTagData,20201217T035441Z,RELEASE-2021
ae3a2dfb-bcdb-4b91-bb56-e5eea993ac76,DSNY_028.basePlot.vst,2014-10-14T00:00:00Z,vst_DSNY_2014,D03,DSNY,DSNY_028,NA,NEON.PLA.D03.DSNY.00227,NA,NA,NA,NA,5.8,125,NA,0.7,NA,NA,NA,1.2,0.8,Full sun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,branch at 130; No transcription errors found,NA,NA,legacyData | noMapTagData,20201217T035441Z,RELEASE-2021
ca40d1ec-1ac4-4ae6-ac02-2ef6df530807,DSNY_023.basePlot.vst,2014-10-14T00:00:00Z,vst_DSNY_2014,D03,DSNY,DSNY_023,NA,NEON.PLA.D03.DSNY.00220,NA,NA,small tree,NA,4.8,130,NA,0.7,NA,NA,NA,1.4,0.9,Open grown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,legacyData | noMapTagData,20201217T035441Z,RELEASE-2021
54ec68a1-cae3-4e5d-adb2-f0de15ff9fe5,DSNY_023.basePlot.vst,2014-10-14T00:00:00Z,vst_DSNY_2014,D03,DSNY,DSNY_023,NA,NEON.PLA.D03.DSNY.00211,NA,NA,small tree,NA,5.8,130,NA,1.5,NA,NA,NA,1.1,0.9,Open grown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No transcription errors found,NA,NA,legacyData | noMapTagData,20201217T035441Z,RELEASE-2021
