uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,eventType,dataCollected,samplingProtocolVersion,targetTaxaPresent,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF,publicationDate,release,subplotsSampled
713d7108-5d57-4ae8-a89f-e1d5280bf1a6,DSNY_001.basePlot.vst,2014-08-12T00:00:00Z,D03,DSNY,DSNY_001,distributed,woodyWetlands,28.0967,-81.418579,WGS84,20.1,458880.85,3107985.14,17N,20.7,0.1,vst_DSNY_2014,NA,NA,NEON.DOC.000987vD,NA,NA,NA,NA,NA,NA,NA,noneSelected,noneSelected,400,400,400,Woody stems mapping establishment; NO TREES; ALSO MEAS - D03AWN13; D03FAV17,D03ALW14,NA,legacyData,20201217T035426Z,RELEASE-2021,NA
a95b86b0-dad4-4157-93f9-d314eea9adac,DSNY_020.basePlot.vst,2014-08-12T00:00:00Z,D03,DSNY,DSNY_020,distributed,woodyWetlands,28.097278,-81.4079,WGS84,20.1,459930.13,3108045.61,17N,20.6,0.1,vst_DSNY_2014,NA,NA,NEON.DOC.000987vD,NA,NA,NA,NA,NA,NA,NA,noneSelected,noneSelected,400,400,400,Woody stems mapping establishment; ALSO: D03FAV17 D03ANW13,D03ALW14,NA,legacyData,20201217T035426Z,RELEASE-2021,NA
cb6732dd-0e19-4ea5-b684-f04925ebe1d7,DSNY_004.basePlot.vst,2014-08-12T00:00:00Z,D03,DSNY,DSNY_004,distributed,woodyWetlands,28.099732,-81.399974,WGS84,20.1,460709.63,3108314.87,17N,18.8,0.1,vst_DSNY_2014,NA,NA,NEON.DOC.000987vD,NA,NA,NA,NA,NA,NA,NA,noneSelected,noneSelected,400,400,400,Woody stems mapping establishment; no overstory in plot,D03ALW14,NA,legacyData,20201217T035426Z,RELEASE-2021,NA
e34cc374-c6e9-4249-abab-f66ae419b258,DSNY_027.basePlot.vst,2014-08-12T00:00:00Z,D03,DSNY,DSNY_027,distributed,woodyWetlands,28.09214,-81.405133,WGS84,20.1,460200.05,3107475.52,17N,20.7,0.1,vst_DSNY_2014,NA,NA,NEON.DOC.000987vD,NA,NA,NA,NA,NA,NA,NA,noneSelected,noneSelected,400,400,400,Woody stems mapping establishment; ALSO: D03ALW14,D03FAV17,NA,legacyData,20201217T035426Z,RELEASE-2021,NA
2c924439-2230-474e-8e20-e2e758cb8b57,DSNY_006.basePlot.vst,2014-08-12T00:00:00Z,D03,DSNY,DSNY_006,distributed,woodyWetlands,28.092969,-81.399332,WGS84,20.1,460770.24,3107565.47,17N,20.7,0.1,vst_DSNY_2014,NA,NA,NEON.DOC.000987vD,NA,NA,NA,NA,NA,NA,NA,noneSelected,noneSelected,400,400,400,Woody stems mapping establishment; ALSO MEAS:D03FAV17; D03AWN13,D03ALW14,NA,legacyData,20201217T035426Z,RELEASE-2021,NA
1f68b4ad-4068-4e7b-adcd-ac0c1c227231,DSNY_012.basePlot.vst,2014-08-12T00:00:00Z,D03,DSNY,DSNY_012,distributed,woodyWetlands,28.102984,-81.406399,WGS84,20.1,460079.69,3108677.21,17N,20.2,0.1,vst_DSNY_2014,NA,NA,NEON.DOC.000987vD,NA,NA,NA,NA,NA,NA,NA,noneSelected,noneSelected,400,400,400,Woody stems mapping establishment; ALSO MEAS: D03FAV17; D03FNW13,D03ALW14,NA,legacyData,20201217T035426Z,RELEASE-2021,NA
587ed9b5-fe97-417d-9bc5-c35ad220baa5,DSNY_010.basePlot.vst,2014-08-13T00:00:00Z,D03,DSNY,DSNY_010,distributed,woodyWetlands,28.11859,-81.435161,WGS84,20.1,457260.58,3110415.8,17N,20,0.1,vst_DSNY_2014,NA,NA,NEON.DOC.000987vD,NA,NA,NA,NA,NA,NA,NA,noneSelected,noneSelected,400,400,400,Woody stems mapping establishment;,D03ALW14,NA,legacyData,20201217T035426Z,RELEASE-2021,NA
0af2fc44-0e23-4b2e-8dcf-5c6cbe8b588f,DSNY_030.basePlot.vst,2014-08-13T00:00:00Z,D03,DSNY,DSNY_030,distributed,woodyWetlands,28.110538,-81.406725,WGS84,NA,460050.47,3109514.14,17N,19.4,NA,vst_DSNY_2014,NA,NA,NEON.DOC.000987vD,NA,NA,NA,NA,NA,NA,NA,25,noneSelected,400,200,400,Woody stems mapping establishment; listed as 5x5 subplot for shrubs; well over 30 sap and sms; nested subplots need to be corrected,D03ALW14,NA,legacyData,20201217T035426Z,RELEASE-2021,NA
5b922d86-c0b8-4204-80b1-a76fcf5b2900,DSNY_029.basePlot.vst,2014-08-13T00:00:00Z,D03,DSNY,DSNY_029,distributed,woodyWetlands,28.11643,-81.42752,WGS84,NA,458010.2,3110173.86,17N,19.5,NA,vst_DSNY_2014,NA,NA,NEON.DOC.000987vD,NA,NA,NA,NA,NA,NA,NA,noneSelected,noneSelected,400,400,400,Woody stems mapping establishment;,D03ALW14,NA,legacyData,20201217T035426Z,RELEASE-2021,NA
2ee15a70-2e57-48d6-9fba-f0eaeaf13d65,DSNY_015.basePlot.vst,2014-08-13T00:00:00Z,D03,DSNY,DSNY_015,distributed,woodyWetlands,28.111847,-81.42168,WGS84,20.1,458582.04,3109664.15,17N,20.8,0.1,vst_DSNY_2014,NA,NA,NEON.DOC.000987vD,NA,NA,NA,NA,NA,NA,NA,noneSelected,noneSelected,400,400,400,Woody stems mapping establishment;,D03ALW14,NA,legacyData,20201217T035426Z,RELEASE-2021,NA
d138ed61-43e6-4e28-9333-c90539015bfc,DSNY_009.basePlot.vst,2014-08-18T00:00:00Z,D03,DSNY,DSNY_009,distributed,pastureHay,28.073118,-81.428559,WGS84,20.1,457891.25,3105376.18,17N,19,0.1,vst_DSNY_2014,NA,NA,NEON.DOC.000987vD,NA,NA,NA,NA,NA,NA,NA,noneSelected,noneSelected,400,400,400,Woody stems mapping establishment; no woody stems; rubus and saw palm only - pasture,D03GJA05,NA,legacyData,20201217T035426Z,RELEASE-2021,NA
