uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,groupID,taxonID,scientificName,taxonRank,identificationReferences,identificationQualifier,volumePercent,livePercent,deadPercent,canopyArea,meanHeight,remarks,measuredBy,recordedBy,dataQF,publicationDate,release
c1650fc4-3fb7-458b-9963-9b9e95a7d74e,ABBY_063.basePlot.vst,2015-07-23T00:00:00Z,vst_ABBY_2015,D16,ABBY,ABBY_063,39,NA,39 _0,SPDOD,Spiraea douglasii Hook. var. douglasii,variety,NA,NA,100,95,5,1,0.92,NA,shiebert@neoninc.org,kzias@field-ops.org,legacyData,20201217T051217Z,RELEASE-2021
18cfe7d3-12f0-4142-9661-79f27906219c,ABBY_063.basePlot.vst,2015-07-23T00:00:00Z,vst_ABBY_2015,D16,ABBY,ABBY_063,21,NA,21 _0,ACCI,Acer circinatum Pursh,species,NA,NA,100,100,0,1,0.88,NA,shiebert@neoninc.org,kzias@field-ops.org,legacyData,20201217T051217Z,RELEASE-2021
e03aea50-138c-4388-99f4-b1fff1d43075,ABBY_063.basePlot.vst,2015-07-23T00:00:00Z,vst_ABBY_2015,D16,ABBY,ABBY_063,21,NA,21 _0,ACCI,Acer circinatum Pursh,species,NA,NA,100,90,10,1,0.96,NA,shiebert@neoninc.org,kzias@field-ops.org,legacyData,20201217T051217Z,RELEASE-2021
6a46ce9c-0fda-4e70-b633-b04e50c770db,ABBY_063.basePlot.vst,2015-07-23T00:00:00Z,vst_ABBY_2015,D16,ABBY,ABBY_063,21,NA,21 _0,ACCI,Acer circinatum Pursh,species,NA,NA,100,100,0,1,0.56,NA,shiebert@neoninc.org,kzias@field-ops.org,legacyData,20201217T051217Z,RELEASE-2021
16e6408f-0390-4adf-81b5-19867f6d1da6,ABBY_063.basePlot.vst,2015-07-23T00:00:00Z,vst_ABBY_2015,D16,ABBY,ABBY_063,39,NA,39 _0,ACCI,Acer circinatum Pursh,species,NA,NA,100,95,5,1,2.74,NA,shiebert@neoninc.org,kzias@field-ops.org,legacyData,20201217T051217Z,RELEASE-2021
d46552e1-f10b-45bb-91b7-339a0c91fdbf,ABBY_068.basePlot.vst,2015-07-25T00:00:00Z,vst_ABBY_2015,D16,ABBY,ABBY_068,39,1,39 _0,HODI,Holodiscus discolor (Pursh) Maxim.,species,NA,NA,100,100,0,1,1.06,NA,krian@neoninc.org,emccarthy@field-ops.org,legacyData,20201217T051217Z,RELEASE-2021
377756eb-2c63-4b24-adaf-1f982d219937,ABBY_068.basePlot.vst,2015-07-25T00:00:00Z,vst_ABBY_2015,D16,ABBY,ABBY_068,21,4,21 _0,COCOC,Corylus cornuta Marshall var. californica (A. DC.) Sharp,variety,NA,NA,100,100,0,1,0.9,NA,shiebert@neoninc.org,lwade@field-ops.org,legacyData,20201217T051217Z,RELEASE-2021
cf67a97e-5969-4294-8a9c-4b91829ac0ee,ABBY_068.basePlot.vst,2015-07-25T00:00:00Z,vst_ABBY_2015,D16,ABBY,ABBY_068,21,1,21 _0,GASH,Gaultheria shallon Pursh,species,NA,NA,100,100,0,1,1.22,NA,shiebert@neoninc.org,lwade@field-ops.org,legacyData,20201217T051217Z,RELEASE-2021
f43a3ed4-0070-4dc1-8624-1c8f626465f8,ABBY_065.basePlot.vst,2015-07-27T00:00:00Z,vst_ABBY_2015,D16,ABBY,ABBY_065,23,4,23 _0,GASH,Gaultheria shallon Pursh,species,NA,NA,65,95,5,3,0.78,NA,shiebert@neoninc.org,krian@neoninc.org,legacyData,20201217T051217Z,RELEASE-2021
7c1b5838-6bdf-48a0-a2fd-65269ea27e95,ABBY_065.basePlot.vst,2015-07-27T00:00:00Z,vst_ABBY_2015,D16,ABBY,ABBY_065,23,4,23 _0,GASH,Gaultheria shallon Pursh,species,NA,NA,100,90,10,3,0.7,NA,shiebert@neoninc.org,krian@neoninc.org,legacyData,20201217T051217Z,RELEASE-2021
